0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:13 +0530] "GET /shoppingCart/resources/images/cakes/img/c14.jpg HTTP/1.1" 200 76022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:13 +0530] "GET /shoppingCart/resources/images/cakes/img/c3.jpg HTTP/1.1" 200 98232
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:13 +0530] "GET /shoppingCart/resources/images/cakes/img/Cake-choco.jpg HTTP/1.1" 200 116741
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:20 +0530] "GET /shoppingCart/home HTTP/1.1" 200 6594
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:20 +0530] "GET /shoppingCart/resources/images/cakes/img/c13.jpg HTTP/1.1" 200 56868
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:20 +0530] "GET /shoppingCart/resources/images/cakes/img/pastel-cake-image.jpg HTTP/1.1" 200 32308
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:20 +0530] "GET /shoppingCart/resources/images/cakes/img/b1.png HTTP/1.1" 200 468609
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:20 +0530] "GET /shoppingCart/resources/images/cakes/img/c14.jpg HTTP/1.1" 200 76022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:20 +0530] "GET /shoppingCart/resources/images/cakes/img/c16.jpg HTTP/1.1" 200 91232
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:20 +0530] "GET /shoppingCart/resources/images/cakes/img/c2.jpg HTTP/1.1" 200 108615
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:20 +0530] "GET /shoppingCart/resources/images/cakes/img/c8.jpg HTTP/1.1" 200 68547
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:20 +0530] "GET /shoppingCart/resources/images/cakes/img/c3.jpg HTTP/1.1" 200 98232
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:20 +0530] "GET /shoppingCart/resources/images/cakes/img/Cake-choco.jpg HTTP/1.1" 200 116741
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:27 +0530] "GET /shoppingCart/productlist HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:27 +0530] "GET /shoppingCart/productlist HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:27 +0530] "GET /shoppingCart/resources/images/cakes/img/265.png HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:27 +0530] "GET /shoppingCart/resources/images/cakes/img/267.png HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:27 +0530] "GET /shoppingCart/resources/images/cakes/img/266.png HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:27 +0530] "GET /shoppingCart/resources/images/cakes/img/264.png HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:33 +0530] "GET /shoppingCart/editform?id=264 HTTP/1.1" 200 6273
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:41 +0530] "POST /shoppingCart/editProduct/264 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:41 +0530] "GET /shoppingCart/productlist HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:42 +0530] "GET /shoppingCart/resources/images/cakes/img/265.png HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:42 +0530] "GET /shoppingCart/resources/images/cakes/img/264.png HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:42 +0530] "GET /shoppingCart/resources/images/cakes/img/266.png HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:42 +0530] "GET /shoppingCart/resources/images/cakes/img/267.png HTTP/1.1" 404 990
